time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669132122,277.8680,10,275.351,348,56.9,71,yes,yes
1669132124,274.5161,10,274.601,342,56.9,56,yes,yes
1669132126,254.1803,10,274.851,300,56.9,28,yes,yes
1669132128,272.1759,10,276.101,339,56.9,65,yes,yes
1669132143,274.7089,8,275.851,349,56.9,67,yes,yes
1669132145,276.0938,10,274.726,346,56.9,63,yes,yes
1669132147,279.1079,10,274.851,360,56.9,83,yes,yes
1669132149,274.6602,10,274.851,346,56.9,64,yes,yes
1669132151,276.5484,10,275.430,351,56.9,67,yes,yes
1669132153,255.7138,10,272.455,307,56.9,28,yes,yes
1669132158,273.6495,10,275.373,338,56.9,54,yes,yes
1669132160,276.3608,10,274.601,343,56.9,58,yes,yes
1669132162,267.2335,10,274.726,325,56.9,40,yes,yes
1669132164,273.1542,10,274.101,346,56.9,75,yes,yes
1669132223,263.5312,8,276.101,323,56.9,69,yes,yes
1669132226,273.7170,10,275.101,346,56.9,69,yes,yes
1669132231,276.6820,10,276.101,351,56.9,70,yes,yes
1669132233,271.8901,10,272.851,340,56.9,63,yes,yes
1669132235,277.5479,10,275.101,349,56.9,62,yes,yes
1669132237,275.2397,10,275.601,354,56.9,70,yes,yes
1669132239,276.2809,10,275.601,350,56.9,70,yes,yes
1669132241,272.2669,10,274.851,345,56.9,57,yes,yes
1669132243,276.8734,10,274.601,357,56.9,78,yes,yes
1669132245,269.5212,10,273.850,331,56.9,48,yes,yes
1669132247,273.2003,10,275.851,355,56.9,73,yes,yes
1669132249,273.4297,10,275.101,343,56.9,61,yes,yes
1669132251,272.5312,10,275.351,348,56.9,64,yes,yes
1669132253,264.3160,10,274.226,325,56.9,40,yes,yes
1669132259,277.7742,10,275.851,352,56.9,69,yes,yes
1669132261,273.8429,10,275.351,344,56.9,64,yes,yes
1669132263,277.5226,10,274.851,362,56.9,80,yes,yes
1669132265,261.9357,10,274.851,309,56.9,27,yes,yes
